,positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
0,46.0,34.0,10.0,9.0,4.0,4.0,2.0,2.0,1.0,0.0,1
1,17.0,10.0,8.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,0
2,13.0,8.0,5.0,9.0,0.0,1.0,0.0,1.0,6.0,0.0,0
3,33.0,25.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,1
4,24.0,22.0,3.0,2.0,5.0,0.0,1.0,2.0,2.0,0.0,1
5,17.0,9.0,8.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,0
6,20.0,19.0,6.0,5.0,8.0,2.0,6.0,3.0,5.0,2.0,0
7,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0
8,16.0,7.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1
9,56.0,27.0,7.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,1
10,110.0,62.0,35.0,45.0,12.0,9.0,3.0,5.0,10.0,3.0,1
11,8.0,6.0,3.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,0
12,110.0,62.0,35.0,45.0,12.0,9.0,3.0,5.0,10.0,3.0,1
13,8.0,6.0,3.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,0
14,36.0,32.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,1
15,106.0,87.0,29.0,19.0,25.0,6.0,10.0,12.0,11.0,6.0,1
16,20.0,14.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1
17,20.0,14.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1
18,29.0,25.0,11.0,4.0,8.0,1.0,0.0,5.0,0.0,0.0,1
19,24.0,17.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1
20,29.0,24.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,0.0,1
21,28.0,16.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,1
22,24.0,17.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1
23,29.0,24.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,0.0,1
24,29.0,13.0,7.0,2.0,7.0,2.0,3.0,4.0,1.0,1.0,1
25,28.0,23.0,9.0,6.0,4.0,2.0,3.0,1.0,3.0,1.0,1
26,20.0,15.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
27,1.0,2.0,1.0,1.0,5.0,1.0,3.0,0.0,2.0,1.0,0
28,34.0,26.0,6.0,6.0,10.0,0.0,4.0,7.0,1.0,5.0,1
29,58.0,30.0,11.0,6.0,10.0,2.0,0.0,2.0,4.0,1.0,1
30,28.0,24.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,1
31,21.0,22.0,5.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1
32,20.0,14.0,3.0,5.0,6.0,1.0,1.0,0.0,4.0,0.0,1
33,28.0,24.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,1
34,21.0,20.0,11.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,1
35,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
36,24.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1
37,2.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,0
38,2.0,1.0,1.0,0.0,8.0,3.0,3.0,3.0,4.0,5.0,0
39,24.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40,7.0,5.0,2.0,1.0,7.0,2.0,4.0,5.0,2.0,2.0,0
41,9.0,8.0,4.0,1.0,6.0,2.0,1.0,6.0,1.0,2.0,0
42,45.0,31.0,13.0,2.0,28.0,8.0,14.0,12.0,7.0,4.0,1
43,5.0,5.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0
44,45.0,31.0,13.0,2.0,28.0,8.0,14.0,12.0,7.0,4.0,1
45,9.0,8.0,4.0,1.0,6.0,2.0,1.0,6.0,1.0,2.0,0
46,35.0,28.0,12.0,3.0,20.0,0.0,2.0,3.0,7.0,10.0,1
47,46.0,29.0,11.0,9.0,8.0,2.0,3.0,3.0,8.0,1.0,1
48,7.0,5.0,4.0,1.0,9.0,4.0,4.0,4.0,2.0,5.0,0
49,5.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,2.0,0
50,25.0,19.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1
51,18.0,10.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,1
52,29.0,22.0,5.0,4.0,9.0,3.0,3.0,5.0,2.0,5.0,1
53,38.0,27.0,17.0,13.0,27.0,6.0,21.0,14.0,4.0,2.0,0
54,29.0,23.0,13.0,9.0,9.0,3.0,5.0,5.0,1.0,1.0,0
55,5.0,6.0,1.0,0.0,6.0,3.0,2.0,3.0,5.0,1.0,0
56,16.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1
57,21.0,21.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1
58,14.0,7.0,3.0,9.0,2.0,1.0,0.0,2.0,1.0,0.0,1
59,52.0,37.0,22.0,14.0,8.0,3.0,1.0,1.0,3.0,0.0,0
60,261.0,243.0,36.0,37.0,11.0,7.0,8.0,6.0,6.0,1.0,0
61,36.0,27.0,5.0,3.0,8.0,1.0,1.0,5.0,3.0,0.0,1
62,32.0,18.0,8.0,6.0,19.0,8.0,10.0,8.0,5.0,2.0,0
63,34.0,23.0,8.0,6.0,9.0,3.0,5.0,5.0,5.0,4.0,1
