title,date,person,link,transcript
"Remarks at Old South Meeting House in Boston, Massachusetts",2019-12-31T00:00:00+00:00,Elizabeth Warren,/documents/remarks-old-south-meeting-house-boston-massachusetts,"
[As prepared for delivery.]
In a few hours, the dawn of a New Year will break over America, offering us a moment for pause and reflection.
It is normally a moment for optimism. But let's face it: This year in America has been anything but normal.
In the past 12 months, the president has become bolder with his lies and more brazen in his law-breaking. He tried to squeeze a foreign government to advance his own personal political fortunes.
Meanwhile, the Republicans in Congress have turned into fawning, spineless defenders of his crimes.
It brought no one any joy, but the House Democrats upheld their sworn duty to the Constitution and impeached the president of the United States. Soon I will return to the Senate to do my sworn duty as well.
But unless some Senate Republicans choose truth over politics, Donald Trump will be emboldened to try to cheat his way through yet another election.
So as we turn the page tomorrow — into an election year and a new decade — there is a chill of fear in the air.
People are afraid. Afraid for their families and neighbors. Afraid for the children locked in our detention centers and the children on lockdown in our schools. Afraid for women, LGBTQ+ people, especially trans people whose rights will be decided in the Supreme Court next year. Afraid for our country. Afraid for our planet.
And the danger they feel is real. Our democracy hangs in the balance. And now it comes to us — now it comes to us to fight back.
We are a nation that fights back. Fighting back is an act of patriotism.
We fought back against a king and an empire to form a new republic. We fought back against the scourge of slavery even after it was written into our constitution. We fought back against worldwide economic depressions. We fought back against fascist tyrants.
Those moments in American history define us. And at each one of them, if our leaders had approached the moment thinking small, we would not have made it through. Americans do big things. That's who we are. And our best moments as a country have been when we see a challenge clearly and we mobilize to meet it head on.
And that is why I come to you on this New Year's Eve with a heart filled with optimism.
We became the world's leading industrial producer and simultaneously gave workers the right to join unions and the right to live decent lives. We created breakthroughs in science and technology and connected the world through the internet. We rocketed to the moon.
We created some of the most beautiful and profound art and music the world has ever seen or read or heard.
And these achievements, these victories — not one of them was born of fear. They were born of boldness and big dreams.
They were rooted in our unique ability to turn despair into hope, fear into courage, improbability into triumph.
They were born of our ability to imagine a better world, to imagine it so clearly and so thoroughly that we fought for it with everything we had — and turned things we could only imagine into reality.
We are gathered here today in a house of worship. For half a century leading up to the American Revolution, this place served not only for prayer, but also as a safe haven to test out our early ideas of freedom, justice and equality. A hotbed of resistance and rebellion. A center of bold progressive dialogue.
Here, in this room, men and women gathered to confront the moral and ethical challenges of the day. They discussed. They debated. And ultimately, they launched a challenge to the oppression of British rule and started a Revolution.
Here, as they took their places among these pews, the spirit of the American imagination was formed, meeting by meeting, vote by vote, speech by speech.
I want to tell you about one of the people who sat in this very room. A young girl. A young, enslaved girl named Phillis Wheatley.
Born in West Africa, Phillis was kidnapped by slave traders and brought to New England in 1761. From a young age it was clear that Phillis was an extraordinary person. She mastered English, Latin, Greek and English literature at a time when enslaved people could be condemned to death for learning. As she entered her teen years, she became a writer. Back in the early 1770s, as she sat in this church, in these pews, Phillis scoured the holy scripture for the words she needed to give voice to her visions and to spark her imagination.
She imagined a world that did not yet exist, but a world she could see. She penned ideals of a better America. Ultimately, she inspired leaders like George Washington himself. She showed through her work the power of imagination to help fuel a revolution.
Week after week, Phillis came to this room and imagined. Years before the Revolutionary War, she became the first Black woman to publish a book of poetry in America. Her imagination is woven into the tapestry of America's story.
So, just for a moment, here in this place of ideas that took root and shaped a nation, here on the eve of a New Year, let us come together to imagine. Imagine what our country will look like, imagine what your own life will look like, when we finally turn this page in our history.
Now I know some of you may be thinking — imagination? Imagining alone won't be enough. And you are right.
But imagination is powerful. It forces us to contemplate change in our lives; to begin to expect change. Taking the time to see ourselves and our world better than they are today sparks urgency in our hearts and determination in our minds.
So today we come together to imagine.
To imagine a country where the decisions made in Washington aren't simply bought and paid for by lobbyists and big donors.
To imagine a country where the fossil fuel industry doesn't have a death grip on our planet.
To imagine a country where private prisons and detention centers don't exist and no one makes a profit from locking people up.
To imagine a country where the NRA and gun industry don't get to put their own profits above the safety of our children.
To imagine a country where big drug companies and the insurance industry don't stand between Americans and the basic health care they need.
To imagine a country where no politician has to kiss the rings of the rich in order to win elected office.
We come together to imagine this reality because this reality is now within our reach.
When I am president, we will attack corruption in Washington head on. We will attack the concentration of power that makes this government work great for the wealthy and well-connected, and not for much of anyone else.
On day one, we will start to make big, structural change to put the people in charge of our democracy — so we hear everyone's voice and count everyone's vote.
On day one, we will start to make big, structural change to end the rigged economy and to create a new set of rules — rules that give everyone a chance to succeed.
In my administration, we will build an America where you and your neighbor can celebrate each other's success because you both know that our economy isn't a zero sum game. That we each do better when everyone has a fighting chance to build real security and thrive.
Exactly a year ago today I got in the race for president. And I made the decision to run a campaign straight from the heart. As I stand here today, I am deeply grateful that so many of you have put your full hearts into this campaign, as well.
Over the past year I've had the chance to shake hands or hug nearly 100,000 people in more than 190 town halls across the country. Sure, there are lots of differences among us.
We're tall and short. We have different accents, different needs, different talents, different problems, and different dreams. But for all of our differences, we are ready to fight side-by-side for our common aspirations.
I've met voters in big cities, small towns and rural areas who are committed to tearing down the legacy of systemic racism.
I've met straight Americans who are committed to the fight for LGBTQ+ rights. I've met men who are committed to the fight for reproductive rights. Farmers worried about the threat of automation and employees of startups in Silicon Valley who know that companies like Facebook and Amazon threaten our economy and our democracy.
One year into this campaign, you've never found me behind closed doors with corporate executives or spending hours on the phone sucking up to rich donors to fund my campaign.
One year into this campaign, and I'm still listening and learning from people across this nation. Because those moments of deep connection are intense, and they sometimes echo heart-gripping fear.
Children who don't want to get shot at school. Young people who say they'll never be able to pay off their student loans. Seniors whose Social Security check just won't cover the basics.
But fear never dominates. People tell me what's broken, but the fear always comes lit by a hope for change.
Hope for change because they believe in America, and in each other. And I believe too.
My plans for this country have been influenced by letters pressed into my palm by little girls.
My will to fight has been strengthened by the people who have whispered their dreams into my ear.
My determination to lead a movement has been forged by the tens of thousands of people who have said they are ready to fight for the country they know we can be.
So, just for a minute, imagine what that country could mean for you. Imagine who you could be if America worked for everyone.
Imagine how you could thrive if America was safe for everyone. If you lived in a community without fear. Without fear of oppression, of violence, of anti-semitism, white supremacy, and police brutality, how would you live your life?
If you were no longer tied to your job in order to pay off student loan debt, where would you go? Try a different job? Move back to your hometown? Start your own business?
If you were no longer paying half your income in rent, what could you do? Pay off your credit cards? Put money in a savings account? Get a dog? (That idea came from Bailey — but think about it.)
If you were no longer stretched to make ends meet, who would you be? A coach? A volunteer? A parent?
And if you could make these changes, what opportunities would it open up, for you? For your children? For your grandchildren?
And imagine a country where every child is treated as so valuable to all of us that their education is a top priority. Imagine a country where teachers are deeply respected for the work they do — and paid accordingly. Where children with disabilities get the services they're entitled to and the assistance they need. Imagine a country where no child ever has to do an active-shooter drill again.
And imagine a country where every young adult is treated as so valuable to all of us that technical school, two-year college or four-year college is tuition-free and ready to welcome every one of them.
Imagine fleeing violence and oppression and finding an America that matches our best values every day and welcomes asylum seekers and refugees with care and compassion.
And while you're imagining, please re-imagine health care.
If you're part of a typical American household, your family spent almost $12,000 on health care last year. About 1 in 5 of you — including people with insurance — didn't fill a prescription because you couldn't afford it.
So now, imagine an America where Medicare for All ensures health care is a basic human right. Imagine an America where you could get your prescriptions filled, without worrying about the cost.
Imagine an America where Black maternal health is a priority. Imagine an America where, if you get really sick, you can concentrate on getting well — and not worry about bankruptcy.
Imagine an America where monthly social security checks are big enough to cover the bills and leave a little extra for home repairs or an occasional meal out — or maybe birthday presents for the grandchildren.
While the survival of every living thing on this planet hangs in the balance, while fossil fuel companies still call the shots in Washington, imagine an America that has come together to beat back the climate crisis and embrace a Green New Deal.
Imagine what's possible when poor communities and communities of color are no longer dumping grounds for toxic wastes and polluting industries.
And just one more. Right now in America, women make up 51 percent of our population. We account for nearly 50 percent of the workforce and earn more than 57 percent of college degrees. But only about 29% of elected offices in America are held by women.
So imagine an America where more women — women of color, LGBTQ+ women, women with diverse backgrounds — have more power to make the right decisions for our country.
Imagine an America where the lived experience of women… is reflected in committee rooms and corner offices and yes, even that really nice Oval-shaped office at 1600 Pennsylvania Avenue.
Imagine an America where no matter the color of your skin, who you love, how you worship, where you were born, or what zip code you live in, you are safe and your opportunities look pretty much like everyone else's.
If you can imagine all this — if you can imagine that something better lies on the other side of the chaos and ugliness of the last three years — then you are more than halfway there. The first step is to see it. The next step is to fight for it.
We begin this fight with a hard truth: No one who has power in Washington is going to give it up easily. Many corporate executives and career politicians and billionaires on both sides of the aisle want to keep their influence and their wealth. And they are already deep in the fight to do so.
Look at the facts.
Americans overwhelmingly believe that health care is a basic human right. But the private health insurance industry is dumping millions of dollars in false TV ads to scare people away from any change. And the corporate interests know which candidates for president are on their side.
A huge majority of Americans support a wealth tax. But billionaires are on TV claiming that it's impossible to get it done anyway, so we shouldn't bother trying. The billionaires know which candidates for president are on their side.
An overwhelming majority of Americans want to reduce the influence of money in politics. But wealthy donors are lined up, checkbooks in hand, buying their chance to lobby candidates privately and maybe even get to be appointed ambassador. And you better believe the big donors know which candidates for president are on their side.
The billionaires, the corporate executives and their favorite presidential candidates have one clear goal: To convince you that everything you imagine is impossible. To convince you that reform is hopeless. To convince you that because no one can be pure, it's pointless to try to make anything better.
Those with power — and those who do their bidding — dump an endless avalanche of excuses, misdirections, and distractions on the American people. It's all designed to get us to give up and resign ourselves to the way things are — with them in power and everyone else left behind.
But we know in our hearts that power in America can rest with the people. We can and we must have an economy and a democracy that finally works for everyone.
And we, the people, know that the America we imagine together is possible when Americans believe in ourselves and in each other — and when we have the courage to fight for it.
Phillis Wheatly was a poet, but her life was not one of gentle remove. She had circulated her poems and published in the journals of the day, and they had begun to receive attention, both here in Boston and around the country. And there was the problem.
The boldness of her imagination frightened some people. It was a terrifying thought, to some powerful white people, that this young woman, this young enslaved woman, would create something so potent that she challenged the existing order.
So, just a few blocks down the road, at the old south courthouse, a group hauled Phillis into court. They demanded that she sit before a panel of eighteen of Massachusetts's most powerful white men. They demanded that she prove that she had written those poems.
In order to continue to circulate her work, she would have to prove that it was possible that an enslaved Black woman could possess the intellectual capacity to write as she wrote.
Their attack on Phillis was an attack on her intellect, on her integrity, on the very notion that she could exist. Their attack was also an attack on the humanity of people trapped in slavery, an assertion of innate non-personhood.
But Phillis stood tall, and by the end of the proceedings, the judges were persuaded, possibly even embarrassed. Phillis left the courthouse going on to become a nationally and internationally celebrated poet. Her poetry caused George Washington to invite her to visit on the eve of the Revolutionary War. In her short life she became a pioneer of Black literature in America.
Phillis Wheatley's spirit is the American spirit. It's the enduring spirit of imagination fortified by courage. Patriotism infused with the dreams of the great country we can be.
Phillis Wheatley challenged the power structure of the 1770s — just a few years before our fledgling nation would challenge the worldwide power structure by taking on a British king in a revolution.
But Phillis' story and the story of generations of African Americans in this country did not end in victory. Phillis married badly and died penniless. And even as the hopes for the birth of a new nation continued to rise, it would be another century before the tyranny of slavery was destroyed and yet another hundred years before African Americans began to experience true freedom and justice in our country.
Yet in the face of hatred, injustice, and oppression, Black Americans throughout our history have never stopped imagining and fighting for a better tomorrow. Not just for themselves, but for our entire nation.
Black history, American history, has shown us the way to the America of our highest ideals. A roadmap of resistance and endurance in the fight to transform the heart of our nation.
And that fight continues to this very day.
2020 is our fight: Our chance to rewrite the rules of power in our country. Our chance to come together despite our differences and mobilize a movement for change.
I believe that when future generations of Americans look back on this time, they will celebrate us for choosing hope over fear, courage over timidity, dreams over cynicism. I believe they will see that we fought to build an America of our best values — an America that works for everyone.
After the lawsuit, while still an enslaved woman, Phillis wrote a poem entitled On Imagination. She asks her readers to embrace the power of possibility. Here are her words:
We on thy pinions can surpass the wind,And leave the rolling universe behind:From star to star the mental optics rove,Measure the skies, and range the realms above.There in one view we grasp the mighty whole,Or with new worlds amaze th' unbounded soul.

In the spirit of one young woman who raised her voice from these pews more than two centuries ago, let us begin tomorrow committed to dream big, fight hard, and win. Happy New Year.
"
Steyer Campaign Press Release - Tom Steyer Reaffirms Commitment to Immigration Reform in New Ad,2019-12-31T00:00:00+00:00,Tom Steyer,/documents/steyer-campaign-press-release-tom-steyer-reaffirms-commitment-immigration-reform-new-ad,"
(SAN FRANCISCO, December 31, 2019) — Today, presidential candidate Tom Steyer launched a new ad campaign highlighting the moment during the last DNC debate in which he distinguished himself as the candidate vowing to undo Trump's attempts to racially divide our country through immigration. The new Every Right ad shows Steyer's commitment to reforming our country's broken immigration system and putting American values before racist practices.
""I think it's important to note that this president is not against immigration, he's against immigration of non-white people,"" Steyer said in the ad. ""And it's led him to break the laws of humanity in our name. We have to reframe this argument completely. We have to go back to the idea that every American is worth being a full human-being on every right.""
The new ad comes as Steyer continues to pick up momentum in the early primary states. The most recent Morning Consult poll showed him with 10% support in early caucus and primary states, where Steyer has primarily been on the ground with voters.
See below for the full script:
I think it's important to note that this president is not against immigration, he's against immigration of non-white people.
This is a racial argument by a racist president.
Who's trying to divide us. It's absolutely wrong.
And it's led him to break the laws of humanity in our name.
We have to reframe this argument completely. We have to go back to the idea that every American is worth being a full human-being on every right.
I'm Tom Steyer and I approve this message.
"
"Biden Campaign Press Release - Biden for President Adds State Directors in Virginia, North Carolina",2019-12-31T00:00:00+00:00,Joseph R. Biden,/documents/biden-campaign-press-release-biden-for-president-adds-state-directors-virginia-north,"
Campaign Continues Growing Super Tuesday Infrastructure
Today, Biden for President is adding staff to its growing Super Tuesday team, tapping Fernando Mercado as Virginia State Director and Travis Brimm as North Carolina State Director.
""We are thrilled to expand our Super Tuesday team in Virginia and North Carolina with experienced Democratic strategists that will help grow Joe Biden's diverse, broad, and enduring coalition throughout the South,"" said Molly Ritner, Director of Super Tuesday States, Biden for President. ""Fernando and Travis have deep roots in these states and have united Virginians and North Carolinians in tough districts to help elect Democrats up and down the ballot. With Fernando and Travis at the helm, our campaign is in a position of strength to build our support, pick up delegates, and win across the South.""
Biden for President previously announced leadership for Super Tuesday and battleground states like California, Massachusetts, Texas, and Florida. With robust organizations already established in early primary and caucus states, Biden for President will continue building out staff and infrastructure in Super Tuesday and battleground states in the coming months.
Biden has also earned support from scores of leaders in key states across the country, recently reaching more than 1,000 endorsements from current and former U.S. senators and representatives, governors, state elected officials, community leaders, and national security professionals. The campaign has received endorsements from Virginia Congressman Donald McEachin and North Carolina Congressman G.K. Butterfield, both prominent members of the Congressional Black Caucus.
About Today's Key Hires
Fernando Mercado, Virginia State DirectorFernando Mercado joins Team Joe after serving as the Iowa Deputy Organizing Director for Senator Kamala Harris. Before that, Fernando has worked throughout Virginia politics. He has served as political director for Attorney General Mark Herring, policy coordinator for the Virginia House Democratic Caucus, and Director of Latino Outreach for Governor Ralph Northam. He also worked on the successful re-election campaign for Senator Mark Warner and was a community organizer for the Legal Aid Justice Center in Northern Virginia working on health care and immigration issues. Fernando was born in Bolivia, immigrated to the U.S. with his family when he was five years old and is a die-hard UVA basketball fan.
Travis Brimm, North Carolina State DirectorBorn in Texas and raised in Mississippi, Travis Brimm has worked nearly his entire career electing Democrats in the South, particularly in North Carolina. Most recently, Travis was the senior advisor on Dan McCready's special election in North Carolina's 9th Congressional District, in which McCready significantly outperformed partisanship. Before that, Travis managed Col. Richard ""Otter"" Bew's special election effort in North Carolina's 3rd Congressional District. In the historic 2018 midterms, Travis was a political and fundraising advisor at the Democratic Congressional Campaign Committee (DCCC) for House races across the South and helped elect candidates in Florida, Virginia, Texas, and Maine. He has also worked in senior roles on races in California and Texas. Travis is a graduate of the University of Mississippi and loves college football, a good plate of BBQ, cooking new things, and seeing live music whenever possible
"
Article by Mike Bloomberg - You're In Charge: Forget Your New Year's Resolution,2019-12-31T00:00:00+00:00,Michael Bloomberg,/documents/article-mike-bloomberg-youre-charge-forget-your-new-years-resolution,"
This article was written by Mike Bloomberg.
Every December 31st, a time-honored tradition brings Americans of all backgrounds and faiths together: making New Year's resolutions that won't last. It happens in business and government all the time, too – and on a much larger scale.
Business owners and managers often think they need a long-term plan, sometimes because a consultant told them that. And politicians often set goals for many years or even decades after they're gone from public office – without detailing interim targets that the public can hold them accountable for achieving.
It's easy to make long-term resolutions, and there's a certain escapism that comes with it. Why roll up your sleeves and get down to work when you could be mapping out an exciting plan for incredible levels of future success? It's tempting to let your mind fast-forward to the finish line, but projecting to step one hundred can limit your ability to execute step one. Successful athletes don't focus on winning the championship – or even on winning the first game. They focus on preparation.
Issues like climate change and gun violence can't wait for decades-long timetables. We need leaders who will attack the problems facing our nation as soon as they can, however they can. I refuse to wait for the perfect solution before making a move. The hardest challenges require action that begins today, not tomorrow—forget long term.
That's not to say there's no value in thinking ahead. My advice is to conduct the following exercise:
Think logically and deliberately about what you'd like to do. Work out all the steps of the process – the entire what, when, where, why, and how. When you know it cold, write it out on a piece of paper. The act of writing forces you to confront questions you hadn't before. Address those things that you forgot, ignored, underestimated, or glossed over in your mind. Make sure your written description follows, from beginning to end, a logical, complete, doable path.
Then tear up the paper – and get to work.
It's a good exercise in planning while also being a good reminder about what matters most. Real life doesn't follow big, carefully laid plans. Setbacks happen. Surprises arise. Small opportunities lead to unforeseen bigger ones. Conditions and opportunities change in ways we can't anticipate – and that can change the direction of our work, and how we define success. You'll inevitably face problems different from the ones you anticipated. Sometimes you'll have to zig when the business plan says zag. Plans are only as useful as your willingness to toss them aside.
A reporter once asked me what I thought Bloomberg had failed at, as opposed to the successes that have allowed us to grow. I gave it some thought, then answered: ""Nothing. But what we accomplished wasn't always what we set out to do."" A failure leads to a new insight or idea that leads to new products and customers. We're flexible and adaptable. If we had stuck to a rigid plan, we might not be as big or as successful today.
Don't let planning get in the way of doing. I once saw the classic cart-before-the-horse error during a presentation by a potential Bloomberg competitor. His slides had great-looking mock-ups of the company's future shipping department, showing conveyor belts shipping out thousands of the units. The problem? They hadn't yet built the first unit. And they never did.
I've always focused on what's next, not what's way down the road. And I have always believed in playing as many hands as possible, as intelligently as I can – and working like crazy today, and getting up and doing it again tomorrow.
People have a lousy record of predicting the future, and they aren't much better at planning it out. By all means, set high goals and dream big. But then get down to work, and as the months and years pass, be ready to change course. The path to success is not a straight line, and the destination may be a place you haven't imagined. The best resolution is to get started on the journey now – and to charge ahead with deliberate speed.
"
Trump Campaign Statement - Happy New Year from the Trump Campaign!,2019-12-31T00:00:00+00:00,Donald J. Trump,/documents/trump-campaign-statement-happy-new-year-from-the-trump-campaign,"
As we ring in a New Year, Brad Parscale, Campaign Manager for Donald J. Trump for President, Inc., released the following statement:
""As we close out a record year of peace and prosperity and look ahead with great optimism and determination to excel in 2020, we at the Trump Campaign wish all Americans a very Happy New Year. Under President Trump's leadership, more Americans are working than ever before, unemployment is at a 50-year low, and the jobs numbers for women, blacks, Latinos, Asians, and veterans are all at historic levels. The news is good for everyone, as wages are rising across the board - and at even faster rates for those at the lower end of the spectrum. The best news is that this is just the beginning and we welcome all Americans to join us in 2020 to Keep America Great by reelecting Donald Trump. Happy New Year!""
"
"Sanders Campaign Press Release - Sanders Campaign Announces Farmer, Nurse, and Activist Barb Kalbach as Iowa Campaign Co-Chair",2019-12-30T00:00:00+00:00,Bernie Sanders,/documents/sanders-campaign-press-release-sanders-campaign-announces-farmer-nurse-and-activist-barb,"
DES MOINES – Sen. Bernie Sanders' campaign on Monday named former Iowa Citizens for Community Improvement (CCI) president, farmer and retired nurse Barb Kalbach as an Iowa campaign co-chair. Kalbach spoke at tonight's town hall in Winterset in Madison County, Iowa.
""I have seen up close how Sen. Sanders listens and responds to the challenges facing Iowa and the rest of the country,"" Kalbach said. ""Bernie knows that one person alone cannot accomplish all that needs to be done. He is the only candidate who recognizes that he needs all of us working together in a grassroots movement. I look forward to helping lend a hand in this effort.""
""Barb's lifetime of activism on the front lines of Iowa's progressive movement makes her the perfect person to bring our campaign's message to rural Iowans,"" Bernie 2020 Iowa State Director Misty Rebik said. ""As a family farmer and a nurse, Barb knows first-hand what's at stake and she will help us engage with Iowans who have felt left out of our political process to drive us to victory on February 3rd.""
Kalbach is a fourth-generation family farmer from Adair County. On behalf of Iowa CCI, Kalbach organized a bus tour of factory farms in Iowa with Sen. Sanders and rural advocates earlier this year. Kalbach also worked in Madison County Hospital's nursing units for years and has been a longtime advocate for universal health care in Iowa.
"
Yang Campaign Press Release - Comedian and Actor Ken Jeong Endorses Andrew Yang for President,2019-12-30T00:00:00+00:00,Andrew Yang,/documents/yang-campaign-press-release-comedian-and-actor-ken-jeong-endorses-andrew-yang-for,"
Today, comedian and actor Ken Jeong endorsed Andrew Yang for president. Jeong is best known for his roles in Community TV series and The Hangover film series. Born in Detroit, he's the son of South Korean immigrants, and he is a licensed physician in California.
""I love Andrew Yang and am proud to be endorsing him. He's offering me a thousand bucks a month to say this. Andrew is a visionary whose humanity is boundless. I'm honored to be part of the #YangGang,"" said Jeong.
""Ken's support of our Humanity First movement is an honor. The Yang Gang is made up of individuals from many different backgrounds and professions, and having Ken among our supporters is a thrill. Ken's contributions as an actor and comedian have been groundbreaking – it's well-known that he left a secure role as a doctor to pursue his dream. Ken's career is an example that we can all do more than is expected of us,"" said Andrew Yang.
Jeong's endorsement follows Andrew Yang's commanding debate performance at the sixth Democratic primary debate in Los Angeles, along with endorsements from Steven Yeun and Donald Glover.
"
Booker Campaign Press Release - Cory 2020 Launches Six-Figure Iowa TV Buy with New 60 Second Spot,2019-12-30T00:00:00+00:00,Cory Booker,/documents/booker-campaign-press-release-cory-2020-launches-six-figure-iowa-tv-buy-with-new-60-second,"
""The call of this election is the call to unite in common cause and common purpose… as your president, that's how I will move us forward together.""
Newark, NJ — Cory 2020 will launch a six-figure TV ad buy in Iowa today with a new, 60 second spot that tells the story of Cory Booker's career-long record of success in building uncommon coalitions. Cory has built these coalitions and brought people together in order to take on the biggest challenges in our country — challenges that have left too many people and too many communities behind.
The ad reminds Iowa caucus-goers that Cory is the Democrat who will help Americans recognize our common pain, ignite our spirit of common purpose, and mobilize a coalition big enough to defeat Donald Trump in November.
The ad calls back to Cory's years taking on and beating the Newark political machine and his Senate record bridging partisan divides in order to pass major legislation. It uses excerpts from remarks Cory has made throughout this presidential campaign — and his career. It will begin airing in the Des Moines and Cedar Rapids media markets on Monday, December 30th.
The spot, titled ""He Will Win"", can be viewed HERE.
The 60 second ad was produced by WIN, an innovative firm that takes political media and communication outside the standard confines of politics as usual. The WIN team working with Cory 2020 is comprised of strategic veterans Rick Fromberg and Rania Batrice and Chief Creative Officer Matt McLaughlin.
Below is a transcript of the spot:
There's a spirit in this country that is so powerful.
The spirit of the people who are willing to live every day in pursuit of the dreams that do not yet exist in this country.
It's a story of people constantly demonstrating to be the best of what it means to be an American.
In Newark there are many heroes to hold onto. People who humble me because they have found a way to have unyielding faith.
We face perilous times. The question is, will we show that same level of courage?
The call of this election is the call to unite in common cause and common purpose, because we know that our fates are united, that we have a common destiny.
And as your president, that's how I will move us forward together.
I'm Cory Booker and I approve this message.
"
"Bennet Campaign Press Release - Michael Bennet Continues Building Momentum, Now on the Ballot in 21 States",2019-12-29T00:00:00+00:00,Michael Bennet,/documents/bennet-campaign-press-release-michael-bennet-continues-building-momentum-now-the-ballot-21,"
DENVER — Bennet for America announced today that Michael Bennet is on the presidential primary ballot in 21 states. This represents states ranging the First in the Nation primary in New Hampshire up through the March 24th primary in Georgia.
Bennet — who worked in business and as the superintendent of the Denver Public Schools before joining the Senate — has focused his campaign on building opportunity for all Americans and restoring integrity to our government.
""As poll after poll has shown us, this race is wide open, and I'm in this for the long haul,"" said Bennet. ""My campaign is focused on talking to voters where they are, in living rooms and coffee shops across the country, about what we need to do to build a better future for our kids. As the only candidate to win two races in a swing state, I know what it takes to win in tough places like Michigan and Arizona and what it's going to take to beat Donald Trump in 2020. I'm in this to win it.""
Bennet is officially on the ballot in the following states:
AlabamaArizonaArkansasCaliforniaColoradoFloridaGeorgiaIdahoMassachusettsMichiganMinnesotaMissouriNevadaNew HampshireNorth CarolinaOklahomaSouth CarolinaTennesseeTexasUtahVirginia
"
Yang Campaign Press Release - Andrew Yang Unveils Series of New Policies to Rewrite the Rules of Our Fundamentally Anti-Woman Economy,2019-12-28T00:00:00+00:00,Andrew Yang,/documents/yang-campaign-press-release-andrew-yang-unveils-series-new-policies-rewrite-the-rules-our,"
To rewrite the rules of the 21st century economy to work fairly for everyone, Andrew Yang is releasing policies to elevate women to leadership roles in both the public and private sectors, protect a woman's right to choose, and require safe and fair working conditions for pregnant women.
NEW YORK — Today, Andrew Yang released two new major policies: one focused on the promotion of women to leadership roles in the public and private sectors and a second aimed at protecting and expanding a woman's right to choose. To make the 21st century economy work equally for all, Andrew Yang is prioritizing equal representation among leadership roles and women's rights to bodily autonomy.
Andrew Yang has been a long-time champion of elevating women to leadership roles throughout his career, and he will continue to do so as president of the United States. Elevating women to leadership roles within the private sector and government is both prudent and ethical. Studies have shown that organizations with more women in leadership roles are more efficient. More importantly, we should ensure enough women hold leadership positions in our organizations because it's simply the right thing to do.
Andrew Yang is committed to elevating women to leadership roles in the military and in his administration—including cabinet-level positions. His policy focusing on women in leadership incorporates a commitment to appoint women to the federal bench, requires women to be included on corporate boards, and highlights his gender-neutral paid family leave federal mandate.
Andrew Yang believes a woman's right to choose is fundamental. His new policy highlights this as the only way to ensure women are able to fully and fairly participate in today's economy, and it also asserts that women and medical professionals are the only ones who should be trusted to make this decision. Restricting access to abortion bars professionals from providing these crucial services and sets a dangerous precedent for our society as a whole.
In the policy, he highlights his commitment to work with Congress to codify Roe v. Wade into law, appoint judges who support a woman's right to choose, repeal the Hyde Amendment, and increase funding for Planned Parenthood, among other actions.
In addition to policies surrounding women in leadership roles and a woman's right to choose, Andrew Yang released a plan to ensure fair working conditions for pregnant women so that women can continue to advance their careers during and after a pregnancy.
Too often pregnant workers face both discrimination and inadequate support in the workplace. If the rules of our 21st century economy are to work for everyone, pregnant workers must be treated fairly in the workplace and be given reasonable accommodations for their changing physical abilities.
Andrew Yang will advocate for legislation like the Pregnant Workers Fairness Act to guarantee pregnant workers reasonable accommodations. He will lobby the states to pass their own anti-discrimination laws to protect pregnant workers until a federal mandate can be passed, and he will implement a comprehensive federal Paid Family Leave plan that provides all families—regardless of makeup—the necessary time to heal and bond with their child.
Women's rights are human rights, and elevating more women to leadership positions and expanding women's right to choose will ensure we are equipped to navigate the dramatic economic and technological shifts ahead of us. Taking these steps will make us a more efficient and more equitable society.
Read Andrew Yang's policy to elevate the promotion of women to leadership roles here.
Read Andrew Yang's policy to protect a woman's right to choose here.
Read Andrew Yang's policy to ensure that pregnant women receive the support they need at work during their pregnancy here.
"
