title,date,person,link,transcript
DeSantis Campaign Press Release - DeSantis Notches 24 Additional Iowa Endorsements After Debate Victory,2023-11-10T00:00:00+00:00,Ron DeSantis,/documents/desantis-campaign-press-release-desantis-notches-24-additional-iowa-endorsements-after,"
State-level endorsements follow historic backing from Governor Kim Reynolds, growing list of grassroots support 
Tallahassee, FL - Following a historic endorsement from Governor Kim Reynolds and a debate victory earlier this week, Ron DeSantis added 24 state-level endorsements in Iowa from 20 different counties, a testament to his growing momentum in the Hawkeye State.
DeSantis, who is back on the campaign trail in Iowa today, has the support of 41 current state legislators, as well as 120 county chairs across the state. He is the only candidate who is committed to completing the ""Full Grassley"" tour by visiting all 99 counties and has spent time in 88 so far.
""I know that Iowa's farmers and producers deserve a candidate that can fight our battles in Washington. The Republican Party needs a candidate that will bring the party together and win, and I believe Ron DeSantis is that person and that is why I have endorsed him,"" said Craig Hill, Past President of the Iowa Farm Bureau.
""He is a fit, mentally sharp, energetic candidate and would be eligible for a second term unlike President Donald Trump. The country is weary of the chaos that would mark another Trump term. In my opinion, DeSantis is the best Republican candidate to win the presidency. I hope my friends will support him in the Iowa caucuses as I will,"" said former Iowa Congressman Greg Ganske.
A list of the new endorsements is below:

Former Congressman Greg Ganske (Polk)
Craig Hill, Past President of the Iowa Farm Bureau (Warren)
Steve Cundiff, Deputy Sheriff (Clinton)
Tim Fridolph, City Councilman (Montgomery)
Jean Gross, Secretary of Delaware County GOP (Delaware)
Bob Hager, Former State Representative (Allamakee)
Barbara Hovland, President of Northern IA Republican Women* (Cerro Gordo)
Michael Kaldenberg, Co-Chair of Jasper County GOP (Jasper)
Steve Knapp, County Supervisor (Ringgold)
Charles Lazenby, Keosauqua City Council (Van Buren)
Jeff Madlom, County Supervisor (Delaware)
Jeromy Mouw, Spirit Lake School Board (Dickinson)
Scott Nelson, County Attorney (Dubuque)
Jill Ozuna, County Auditor (Montgomery)
Ray Peterson, County Supervisor (Clayton)
Tim Recker, Past President of Iowa Corn (Fayette)
Richard Rogers, Board Member, Iowa Firearms Coalition (Polk)
Tim Schmidt, Mayor of Garner (Hancock)
Karen Schuster, Longtime GOP Activist (Polk)
Ron Slagle, Police Officer, Veteran, Co-founder of Honor and Respect (Linn)
Kathy Smith, Wife of slain Law Enforcement Officer Sgt. Jim Smith (Buchanan)
Brant Smothers, Former Poweshiek County GOP Chair (Poweshiek)
Kyle Stecker, County Supervisor (Kossuth)
Sandy Wieser, Shelby County GOP Secretary (Shelby)

*Title for identification purposes only
DeSantis boasts over 330 state-level endorsements, more than any other candidate in the race, in an impressive show of the strength and grassroots enthusiasm DeSantis is building across the country.
"
DeSantis Campaign Press Release - Ron DeSantis for President Announces Additional Endorsements from State Legislators Across Country,2023-11-10T00:00:00+00:00,Ron DeSantis,/documents/desantis-campaign-press-release-ron-desantis-for-president-announces-additional,"
Tallahassee, FL - Following Wednesday's debate victory, the Ron DeSantis for President campaign today announced a dozen additional endorsements from state legislators across the country.

Tennessee State Senator Adam Lowe
Tennessee State Representative and Republican Caucus Chair Ryan Williams
Maine State Senator Brad Farrin
Kansas State Representative Brett Fairchild
Montana State Senator Daniel Zolnikov
Massachusetts State Senator-elect Peter Durant
Indiana State Representative Robert Heaton
Indiana State Representative Shane Lindauer
Indiana State Representative Chris Jeter
Pennsylvania State Senator Greg Rothman
Ohio State Representative Adam Mathews
Minnesota State Representative Elliott Engen

Minnesota State Representative Elliot Engen said: ""Governor Ron DeSantis is the future of the Republican Party. As a State Representative in a purple state, I know Governor DeSantis will provide the leadership and support our party needs to win across America without sacrificing bold, conservative policy.""
Montana State Senator Daniel Zolnikov: ""With the world on fire, America needs a serious leader for a serious time. Only Ron DeSantis has shown the courage, steadfastness, and ability to govern that our nation deserves.""
** Massachusetts State Senator-elect Peter Durant**: ""For the last decade, the Republican Party has lost too much at too great a cost for everyday Americans. I'm proud to have won an upset victory for the State Senate, and proud to stand with Governor Ron DeSantis because I know he will continue to deliver victories for conservative principles.""
DeSantis boasts over 330 state-level endorsements, more than any other candidate in the race, in an impressive show of the strength and grassroots enthusiasm DeSantis is building across the country.
"
DeSantis Campaign Statement on Upcoming Debate with Gavin Newsom,2023-11-09T00:00:00+00:00,Ron DeSantis,/documents/desantis-campaign-statement-upcoming-debate-with-gavin-newsom,"
November 30th has increased significance in light of Democrat effort to replace Biden
Tallahasee, FL - Following last night's victory, DeSantis for President campaign manager James Uthmeier issued a statement on Ron DeSantis' upcoming debate with Gavin Newsom in Georgia on November 30th.
""Ron DeSantis was victorious last night by making clear that he has what it takes to fight and win for the American people as commander-in-chief, but the next debate will be the biggest one yet,"" said campaign manager James Uthmeier. "" As Democrats ramp up their efforts to replace the historically unpopular and failed Joe Biden as their nominee, Ron DeSantis' showdown with Gavin Newsom is even more timely. A Newsom presidency would accelerate America's decline, and November 30th will be the first chance to expose to a national audience just how dangerous his radical ideology would be for the country. Ron DeSantis will take this responsibility seriously and looks forward to sharing the stark contrast between his vision to revive our nation and Newsom's blueprint for failure.""
BACKGROUND
When asked about the stakes of his debate with Gavin Newsom, Ron DeSantis said earlier this week:
""I think what California represents, it's kind of the leftist petri dish. So whatever the Democrats have already done in Washington, California is kind of like five years ahead of that. So if you did have a Biden second term, I think you'd get a lot of the same policies. But clearly, if you ended up with a Newsom, they would have policies that would really accelerate the decline of this country, whereas I think Florida represents a model where we can reverse the decline and have an American revival. So yes, there'll be differences that are discussed between the two states. But I think the more important part of the debate is, how does that factor into the nation's future?""
DeSantis' upcoming debate with Newsom will take place as various high-profile Democrats and their allies in the media have in recent days questioned whether Biden should be the Democrat nominee in 2024.


Senator Richard Blumenthal (D-Conn.): I was concerned before these polls, and I'm concerned now.


Rep. Pramila Jayapal (D-WA): I think it is important to recognize that we have a very divided country, as you well know. You have said that polls really don't reflect where people are. I agree with you. But I will tell you, this is the first time, Jen, that I have felt like the 2024 election is in great trouble, for the president and for our democratic control, which is essential to moving forward.


Rep. Dean Philips: So the answer is yes, he will lose. And I'm not the only one that thinks that. I may be one of the few that's simply willing to say it out loud.


Former U.S. House Democrat Tim Ryan: Look, I've said this, Kasie—this is not breaking news. I don't think the president should run.


Miami Beach's former Democratic mayor Philip Levine: It is a little bit like your grandfather running the company and you know that he's at a point now where the heirs could suffer value if we don't change management at the top. And this is very difficult. How do we get grandpa to relinquish the CEO role?


DNC Member: It would be irresponsible for us to not be concerned at this point. People can be hopeful about what the result is going to be. But we don't have any evidence as to why we should be hopeful. The polling is bad. The approval ratings are bad. We know about concerns about both the president's age and about the vice president if she were to take over.


David Axelrod, Former Senior Advisor to President Obama: The @POTUS is justly proud of his accomplishments. Trump is a dangerous, unhinged demagogue whose brazen disdain for the rules, norms, laws and institutions or democracy should be disqualifying. But the stakes of miscalculation here are too dramatic to ignore.


Only @JoeBiden can make this decision. If he continues to run, he will be the nominee of the Democratic Party. What he needs to decide is whether that is wise; whether it's in HIS best interest or the country's? (LINK)


Give me his record and chop 10 to 15 years off, I'd be really confident. People judge him on his public performance. That's what people see. That's where the erosion has been. It lends itself to Republican messaging. (LINK)


Jimmy Kimmel, Jimmy Kimmel Live!: Calls for Joe Biden to drop out are getting louder, but that could be because he couldn't hear them.


Bill Kristol, The Bulwark: It's time. President Biden has served our country well. I'm confident he'll do so for the next year. But it's time for an act of personal sacrifice and public spirit. It's time to pass the torch to the next generation. It's time for Biden to announce he won't run in 2024


Ross Douthat, New York Times: But in running Biden for re-election, Democrats are making a fateful bet that this successful management can simply continue through two sets of risks: the high stakes of the next election, in which a health crisis or just more slippage might be the thing that puts Trump back in the White House, and the different but also substantial stakes of another four-year term.


David Ignatius, Washington Post: President Biden should not run again in 2024


Zachary B. Wolf, CNN: Democrats are praying 2024 is not 1980 and Biden is not Carter


"
DeSantis Campaign Press Release - ICYMI: Ron DeSantis on Fox & Friends,2023-11-09T00:00:00+00:00,Ron DeSantis,/documents/desantis-campaign-press-release-icymi-ron-desantis-fox-friends,"
""I wasn't worried about debating the moderators, really wasn't even worried about debating the other candidates as much as articulating my vision directly about how I'll fight for people, how we'll win these big fights, and how we'll lead the country to an American revival."" 
Tallahassee, FL - After his resounding win on the debate stage yesterday, Ron DeSantis today joined Fox & Friends live.
Watch the full interview HERE.
On winning last night's debate:
I spoke directly to the American people about the issues facing the country. I wasn't worried about debating the moderators, really wasn't even worried about debating the other candidates as much as articulating my vision directly about how I'll fight for people, how we'll win these big fights, and how we'll lead the country to an American revival. But then the other thing is, of all of them up there, I have a record of actually doing things. I mean, even on the Hamas-Israel I was able to save Biden abandoned Americans, he wasn't helping evacuate in the aftermath of the attack by Hamas, so I sent planes and we rescued 700+ Americans -- mostly Floridians, a lot of children. Some of them may have ended up becoming hostages. Then we're talking about the threat of the Chinese Communist Party. I banned China from buying land in the state of Florida. We kicked them out of our universities with these things like these Confucius Institutes, which do the ideology. So it's not just rhetoric with me. I've backed it up with actions. Ultimately, it's not just your words, it's your deeds. So people can trust me that everything I'm saying, I'm going to follow through on because that's exactly what I've done as governor.
On Donald Trump's empty promises:
He had a chance to show up, and he had a chance to make his case. He's choosing not to do that. I do think in these early states, these voters are starting to key in, and I do think it's going to hurt him. I think you saw some of these focus groups that said he should show up to debate. We've got Americans being held hostage right now by Hamas. I mean, the stakes are high. You have a responsibility to earn this nomination and also defend your record. I mean, he's running -- I saw the rally a little bit of it. And it reminded me like it's like deja vu all over again. You go back to 2016, he is saying a lot of the same things and promising a lot of the same things he didn't deliver on. Border wall built with Mexico paying for it didn't happen, drain the swamp didn't happen, reducing the debt didn't happen. We added more. So why not get on that stage and explain and then articulate how you're going to do a better job the next time. So I think it is going to hurt him if he doesn't show up. I'm going to show up. I'm going to be at the debates. I'm going to be on the ground in the early states, and we're going to earn it.
On Republican losses under Donald Trump:
But the idea that he is responsible for Florida's success is absurd. And when he says he endorses, and somehow that means -- if his endorsement was so important, why have Republicans been losing so many of these races where he's endorsed? We have fewer governors than when he got elected president, fewer US senators, fewer US House members.
On American airstrikes in the Middle East:
I did see the map, and you have places like al-Assad airbase and some of these other places that we were involved in, and for sure, it's sad to see that. So here, when we have American troops in harm's way, we do not let hostile enemies take potshots at us without an appropriate response. And Joe Biden is basically allowing the Iranians to attack our troops. And his responses are underwhelming, so it's just inviting more attacks. And so just from a normal perspective, now, I would also say this, what is their mission there? Biden hasn't really articulated what their mission there is, presumably some type of counterterrorism mission. But I would note, we have terrorists coming in across our southern border. He's not doing anything about to stop that. And we know, unfortunately, that that's the truth. So I think we get into trouble if we're putting our troops in places where we don't have a clear mission or clear objective. Iraq's government at this point, yes, there's a Sunni-Shia conflict, but it's like, okay, the Shia government is aligned with Iran. They're hostile to the United States, and we have our troops in there to potentially prop that government up? So it's really an odd situation. But clearly, I think he's inviting more attacks on our troops.
"
DeSantis Campaign Press Release - ICYMI: Ron DeSantis on NBC,2023-11-08T00:00:00+00:00,Ron DeSantis,/documents/desantis-campaign-press-release-icymi-ron-desantis-nbc,"
""As Governor of Florida, I delivered on 100% of my promises, I'll do that as President, but also deliver on his promises that he didn't fulfill."" 
Tallahassee, FL - Ron DeSantis joined Hallie Jackson and Tom Llamas for NBC's Post Debate Coverage. Read the highlights below.
Watch the full interview HERE.
On Governor Reynolds' historic endorsement:
I do think with Kim Reynolds endorsing me, I think that that's a big moment for the Iowa caucus because I've talked to people in Iowa. Basically, they said, you know, when Governor Reynolds came out for Governor DeSantis, basically that's telling Iowa caucus-goers, 'You know what, you got to plug it now,' and you're going to start seeing that.
On Trump's downfall:
Donald Trump is not the same guy he was in 2016. You would not have been able to keep him off that stage in 2016. The consultants would not have been able to do that. Now, they don't want him up on the stage. When he gives speeches, it's usually off the teleprompter. And I think his view is like, well, he has a polling lead, therefore, why would he want to get involved and actually earn the job? But that's not the way this goes. So, what I think you're going to see, because I'm on the ground in the early states, voters are now starting to really pay attention. It is going to hurt him if he's not willing to debate going forward, because voters expect you to earn their vote. And if you look at his support, he's got some that are rock solid, he probably doesn't have to debate, but other supporters of his are willing to go for another candidate.
On how he will follow through on Trump's broken promises:
Here's how I view the Republican electorate: 25% are going to do Trump no matter what, give or take, 25% have moved on. They don't want to do it. And then the 50% in the middle, they're conservative voters, America first voters. They would vote for him, but they'd also vote for someone else... So what you have to do is you have to prove yourself. And it's not a question of attacking him as much as just telling the truth. So, for example, when I'm on the campaign trail, I always say, he said Mexico would pay for the border wall. Now what he's saying is, 'Well, there was no legal mechanism I could have done...' I think if you guys covered that campaign, he was very clear Mexico [would] pay for the wall. But the thing is, people told them at the time, you could tax the remittances of foreign workers, and you can raise the billions, so I will actually do that. So, what I tell people is, as Governor of Florida, I delivered on 100% of my promises. I'll do that as President, but also deliver on his promises that he didn't fulfill.
"
Scott Campaign Press Release - Tim Scott To Host Jewish Students At GOP Presidential Debate,2023-11-08T00:00:00+00:00,Tim Scott,/documents/scott-campaign-press-release-tim-scott-host-jewish-students-gop-presidential-debate,"
MIAMI, FL – Tim Scott will host more than 20 Jewish students from the University of South Carolina, University of Miami, and a local South Florida high school at the GOP debate.
The historic debate is the first to partner with a Jewish organization, the Republican Jewish Coalition. Last week, Tim headlined the Republican Jewish Coalition's Leadership Summit where he passionately spoke on the importance of standing with Israel and denouncing those who support terrorism and Hamas.
""As hate and antisemitism proliferate on college campuses across our country, it is more important than ever to educate the minds of our next generation with thoughtful debate and discussion,"" said Tim Scott. ""I look forward to sharing my optimistic vision for our country with these students and all Americans. Together, we will stand against hate and lead our nation into the next American century.""
""I am grateful for the opportunity provided by Senator Scott for my peers and I to witness history, said University of South Carolina student David Moryossef. ""The horrific attacks by Hamas on Israel and subsequent anti-Semitic demonstrations showcase the need for principled leaders.""
Watch Tim take the stage at the NBC News Republican Primary Debate with partners Salem Radio Network and the Republican Jewish Coalition, airing at 8PM ET on NBC News.
"
Statement by Doug Burgum on the Republican Debate,2023-11-08T00:00:00+00:00,Doug Burgum,/documents/statement-doug-burgum-the-republican-debate,"
Governor and business leader Doug Burgum issued the below statement following tonight's GOP debate:
""Over two hours filled with petty attacks and in-fighting, voters learned why none of the career politicians on stage will be President and why political insiders have no business trying to artificially shrink the Republican field two months before the actual voting starts in Iowa and New Hampshire.
In business, we never would've gotten anything done if all we did was yell and name-call. We built a billion-dollar company from scratch by building great teams, serving customers, and providing a product that people wanted. In fact, I have created more jobs than everyone on the stage combined. I spent 30 years in software. Technology is changing every industry, business, and job in America. Software is the greatest invention to expand human capability in the history of mankind… and we haven't even begun to touch the revolution it can lead in reducing the size of the federal government.
That's what I'm doing as Governor. We're reinventing government to serve its customers—the taxpayers. As a result, our state's economy is on fire. We passed the largest tax cut in history, cut spending by 27 percent and slashed red tape. Innovation over regulation is the path to unleashing America's strength and power.
We had team members in 132 countries. I've dealt with China in business. We can't win this war against Iran, crush Mob Boss Putin or win the Cold War with China with Biden's failed energy policies which hurt Americans and help foreign dictators. We're fighting with one hand tied behind our back. When I am your president we will sell energy to our allies, instead of buying it from our enemies.
If we're going to unlock the best of America and achieve our fullest potential, it's going to take a business leader and political outsider to get the job done. That's why I'm running for President. Pundits, political insiders and party bosses don't pick Presidents; voters do.""
"
"Scott Campaign Press Release - In Case You Missed It...Tim Scott Warns of Terrorist Sleeper Cells in America, Demands to Close Border Now",2023-11-08T00:00:00+00:00,Tim Scott,/documents/scott-campaign-press-release-case-you-missed-ittim-scott-warns-terrorist-sleeper-cells,"
WATCH HERE
Tim Scott: And then as we turn away from that direct support for Israel, we should go to our Southern border and close our southern border with the resources necessary. I believe that we have sleeper terrorist cells in America. Thousands of people that come from Yemen, Iran, Syria and Iraq. If we're going to deal with a national security emergency at our border, we have to do it now.
"
Scott Campaign Press Release - In Case You Missed It...TIM SCOTT OPENING REMARKS: I Will Be The President That Helps Us Restore Faith In God & Faith In Each Other,2023-11-08T00:00:00+00:00,Tim Scott,/documents/scott-campaign-press-release-case-you-missed-ittim-scott-opening-remarks-i-will-be-the,"
""It's restoring faith, restoring our Christian values that will help this nation once again become the city on the hill."" – Tim Scott 
WATCH HERE
Tim Scott: Well, certainly what I would say without any question is that the truth of my life destroys the lies of the radical left. We need a president and a candidate who will actually help our base solidify and attract independent voters into our party. The Great Opportunity Party is now winning back African American voters and Hispanic voters because we are working on a foundation based on faith. Our nation is facing some deep challenges. It is the loss of faith in this nation. That is a part of the erosion that we're seeing every single day. It's restoring faith, restoring our Christian values that will help this nation once again become the city on the hill when Ronald Reagan talked about the city on the hill. He was coming from Matthew 5, when President Lincoln talked about a house divided. That was Mark, our founding documents speak to the importance of the faith foundation. You don't have to be a Christian for America to work for you. But America does not work without a faith-filled Judeo Christian foundation. I would be the president helps us restore faith in God, faith in each other, and faith in our future. Without that focus, none of the issues the policies matter. We have to get back to being a nation that is, in fact, the city on the hill that believes in each other enough for us to fight for that future.
"
Scott Campaign Press Release - In Case You Missed It...Tim Scott Gives Lester Holt A Lesson On Economics,2023-11-08T00:00:00+00:00,Tim Scott,/documents/scott-campaign-press-release-case-you-missed-ittim-scott-gives-lester-holt-lesson,"
WATCH HERE
Lester Holt: Let me just follow up the idea of pumping gas and turning on pipelines that doesn't make gas cheaper that day. I'm talking about you become president. What can you do specifically to help people feel better about their situation or be better with their situation?
Tim Scott: Well actually it does to be honest with you. The way the economy works is on the ability to anticipate excess supply versus the demand when that happens. Confidence drives our prices down because we know there's gonna be a greater surplus when you allow for those who have leases to actually start drilling to start using those leases for for more energy excavation. You put our economy in the strongest position and as a result of that, prices start going down that is the kind of economy that as President of the United States, I would lead this nation to making sure that we first use the resources in our own country and not going outside of our country in order to achieve our objective. You know, Proverbs 22:7 reminds us that the borrower is slave to the lender. We have become an indentured servant too often to countries like China. 
"
