positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
46.0,34.0,10.0,9.0,4.0,4.0,2.0,2.0,1.0,0.0,1
17.0,10.0,8.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,0
13.0,8.0,5.0,9.0,0.0,1.0,0.0,1.0,6.0,0.0,0
33.0,25.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,1
24.0,22.0,3.0,2.0,5.0,0.0,1.0,2.0,2.0,0.0,1
17.0,9.0,8.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,0
20.0,19.0,6.0,5.0,8.0,2.0,6.0,3.0,5.0,2.0,0
2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0
16.0,7.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1
56.0,27.0,7.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,1
110.0,62.0,35.0,45.0,12.0,9.0,3.0,5.0,10.0,3.0,1
8.0,6.0,3.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,0
110.0,62.0,35.0,45.0,12.0,9.0,3.0,5.0,10.0,3.0,1
8.0,6.0,3.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,0
36.0,32.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,1
106.0,87.0,29.0,19.0,25.0,6.0,10.0,12.0,11.0,6.0,1
20.0,14.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1
20.0,14.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1
29.0,25.0,11.0,4.0,8.0,1.0,0.0,5.0,0.0,0.0,1
24.0,17.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1
29.0,24.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,0.0,1
28.0,16.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,1
24.0,17.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1
29.0,24.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,0.0,1
29.0,13.0,7.0,2.0,7.0,2.0,3.0,4.0,1.0,1.0,1
28.0,23.0,9.0,6.0,4.0,2.0,3.0,1.0,3.0,1.0,1
20.0,15.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,1.0,1.0,5.0,1.0,3.0,0.0,2.0,1.0,0
34.0,26.0,6.0,6.0,10.0,0.0,4.0,7.0,1.0,5.0,1
58.0,30.0,11.0,6.0,10.0,2.0,0.0,2.0,4.0,1.0,1
28.0,24.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,1
21.0,22.0,5.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1
20.0,14.0,3.0,5.0,6.0,1.0,1.0,0.0,4.0,0.0,1
28.0,24.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,1
21.0,20.0,11.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,1
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
24.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,0
2.0,1.0,1.0,0.0,8.0,3.0,3.0,3.0,4.0,5.0,0
24.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1
7.0,5.0,2.0,1.0,7.0,2.0,4.0,5.0,2.0,2.0,0
9.0,8.0,4.0,1.0,6.0,2.0,1.0,6.0,1.0,2.0,0
45.0,31.0,13.0,2.0,28.0,8.0,14.0,12.0,7.0,4.0,1
5.0,5.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0
45.0,31.0,13.0,2.0,28.0,8.0,14.0,12.0,7.0,4.0,1
9.0,8.0,4.0,1.0,6.0,2.0,1.0,6.0,1.0,2.0,0
35.0,28.0,12.0,3.0,20.0,0.0,2.0,3.0,7.0,10.0,1
46.0,29.0,11.0,9.0,8.0,2.0,3.0,3.0,8.0,1.0,1
7.0,5.0,4.0,1.0,9.0,4.0,4.0,4.0,2.0,5.0,0
5.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,2.0,0
25.0,19.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1
18.0,10.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,1
29.0,22.0,5.0,4.0,9.0,3.0,3.0,5.0,2.0,5.0,1
38.0,27.0,17.0,13.0,27.0,6.0,21.0,14.0,4.0,2.0,0
29.0,23.0,13.0,9.0,9.0,3.0,5.0,5.0,1.0,1.0,0
5.0,6.0,1.0,0.0,6.0,3.0,2.0,3.0,5.0,1.0,0
16.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1
21.0,21.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1
14.0,7.0,3.0,9.0,2.0,1.0,0.0,2.0,1.0,0.0,1
52.0,37.0,22.0,14.0,8.0,3.0,1.0,1.0,3.0,0.0,0
261.0,243.0,36.0,37.0,11.0,7.0,8.0,6.0,6.0,1.0,0
